"survey_name","survey_month","group","n","group_label"
"2024_07_Tracking",2024-07-01,"n_nonbinary",14,"Non-binary / Other gender"
"2024_07_Tracking",2024-07-01,"n_trans",14,"Transgender"
"2024_08_Tracking",2024-08-01,"n_nonbinary",12,"Non-binary / Other gender"
"2024_08_Tracking",2024-08-01,"n_trans",17,"Transgender"
"2024_09_Tracking",2024-09-01,"n_nonbinary",12,"Non-binary / Other gender"
"2024_09_Tracking",2024-09-01,"n_trans",12,"Transgender"
"2024_10_Tracking",2024-10-01,"n_nonbinary",19,"Non-binary / Other gender"
"2024_10_Tracking",2024-10-01,"n_trans",23,"Transgender"
"2024_11_Tracking",2024-11-01,"n_nonbinary",14,"Non-binary / Other gender"
"2024_11_Tracking",2024-11-01,"n_trans",12,"Transgender"
"2024_12_Tracking",2024-12-01,"n_nonbinary",15,"Non-binary / Other gender"
"2024_12_Tracking",2024-12-01,"n_trans",18,"Transgender"
"2025_01_Tracking",2025-01-01,"n_nonbinary",13,"Non-binary / Other gender"
"2025_01_Tracking",2025-01-01,"n_trans",16,"Transgender"
"2025_02_Tracking",2025-02-01,"n_nonbinary",12,"Non-binary / Other gender"
"2025_02_Tracking",2025-02-01,"n_trans",11,"Transgender"
"2025_06_Tracking",2025-06-01,"n_nonbinary",12,"Non-binary / Other gender"
"2025_06_Tracking",2025-06-01,"n_trans",16,"Transgender"
"2025_07_Tracking",2025-07-01,"n_nonbinary",6,"Non-binary / Other gender"
"2025_07_Tracking",2025-07-01,"n_trans",14,"Transgender"
"2025_08_Tracking",2025-08-01,"n_nonbinary",13,"Non-binary / Other gender"
"2025_08_Tracking",2025-08-01,"n_trans",8,"Transgender"
"2025_09_Tracking",2025-09-01,"n_nonbinary",16,"Non-binary / Other gender"
"2025_09_Tracking",2025-09-01,"n_trans",17,"Transgender"
"2025_10_Tracking",2025-10-01,"n_nonbinary",12,"Non-binary / Other gender"
"2025_10_Tracking",2025-10-01,"n_trans",15,"Transgender"
"2025_11_Tracking",2025-11-01,"n_nonbinary",11,"Non-binary / Other gender"
"2025_11_Tracking",2025-11-01,"n_trans",20,"Transgender"
"2025_Climate_Integrity",NA,"n_nonbinary",6,"Non-binary / Other gender"
"2025_Climate_Integrity",NA,"n_trans",17,"Transgender"
"2025_Federal_Post_Election",NA,"n_nonbinary",19,"Non-binary / Other gender"
"2025_Federal_Post_Election",NA,"n_trans",0,"Transgender"
"2025_Federal_Pre_Election",NA,"n_nonbinary",51,"Non-binary / Other gender"
"2025_Federal_Pre_Election",NA,"n_trans",70,"Transgender"
"2026_01_Tracking",2026-01-01,"n_nonbinary",11,"Non-binary / Other gender"
"2026_01_Tracking",2026-01-01,"n_trans",27,"Transgender"
"2026_02_Tracking",2026-02-01,"n_nonbinary",9,"Non-binary / Other gender"
"2026_02_Tracking",2026-02-01,"n_trans",24,"Transgender"
