"xmin","xmax","x","y","PANEL","group","flipped_aes","colour","size","linewidth","linetype","shape","fill","alpha","stroke"
24.1627036160635,41.215780957171,32.6892422866173,3,"1",10,TRUE,"#1A4AAD",0.35,0.5,1,19,NA,NA,0.909090909090909
20.7034780542379,37.5698627627641,29.136670408501,4,"1",11,TRUE,"#1A4AAD",0.35,0.5,1,19,NA,NA,0.909090909090909
29.8943704593039,44.8316517157042,37.363011087504,1,"1",8,TRUE,"#1A4AAD",0.35,0.5,1,19,NA,NA,0.909090909090909
31.7503545816509,48.418538560664,40.0844465711574,2,"1",9,TRUE,"#1A4AAD",0.35,0.5,1,19,NA,NA,0.909090909090909
32.1362513895928,43.9540268027319,38.0451390961623,2,"2",7,TRUE,"#1A4AAD",0.35,0.5,1,19,NA,NA,0.909090909090909
26.3719214763391,37.9482601544789,32.160090815409,1,"2",6,TRUE,"#1A4AAD",0.35,0.5,1,19,NA,NA,0.909090909090909
58.1403054358399,73.0595422097292,65.5999238227846,1,"3",3,TRUE,"#1A4AAD",0.35,0.5,1,19,NA,NA,0.909090909090909
3.66182994405862,12.8084152210923,8.23512258257546,3,"3",5,TRUE,"#1A4AAD",0.35,0.5,1,19,NA,NA,0.909090909090909
21.8746622604078,34.6167605921707,28.2457114262893,2,"3",4,TRUE,"#1A4AAD",0.35,0.5,1,19,NA,NA,0.909090909090909
25.8479204614733,40.3768316168542,33.1123760391637,1,"4",1,TRUE,"#1A4AAD",0.35,0.5,1,19,NA,NA,0.909090909090909
30.4366195226294,40.3530784255145,35.394848974072,2,"4",2,TRUE,"#1A4AAD",0.35,0.5,1,19,NA,NA,0.909090909090909
